"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"Eigen";"Gemm";"op";1;5.701e-06;0.00122936424306289;0;0;0;0.00016015
"Eigen";"Gemm2";"op";1;5.3825e-06;0.00134877447560575;0;0;0;0.000236917
"Eigen";"Sum";"op";1;5.07913043478261e-07;0.00504483305702622;0;0;0;0.000242774
"Eigen";"Sum2";"op";1;4.17134615384615e-07;0.000410057391263542;0;0;0;0.000251604
"Eigen";"Sub";"op";1;5.05952380952381e-07;0.00652205699128706;0;0;0;0.000240503
"Eigen";"Sub2";"op";1;4.17872727272727e-07;0.00126339635793313;0;0;0;0.00024483
"Eigen";"Div";"op";1;5.7485e-07;0.00881849690694513;0;0;0;0.000241346
"Eigen";"Div2";"op";1;4.71918367346939e-07;0.000297999557807229;0;0;0;0.000252995
"Eigen";"Mul";"op";1;5.00720930232558e-07;0.00672155573519412;0;0;0;0.000241416
"Eigen";"Mul2";"op";1;4.14634615384615e-07;0.00105238076327386;0;0;0;0.00024334
"Eigen";"Chained";"op";1;2.131e-05;0.000939408172851095;0;0;0;0.000256121
"Eigen";"Gemm";"op";1;3.8222e-05;0.00104761405898066;0;0;0;0.000499701
"Eigen";"Gemm2";"op";1;3.7119e-05;0.000538517461428591;0;0;0;0.000412626
"Eigen";"Sum";"op";1;2.175e-06;0.00457665903890156;0;0;0;0.000241222
"Eigen";"Sum2";"op";1;1.95366666666667e-06;0.00128128470146065;0;0;0;0.000242377
"Eigen";"Sub";"op";1;2.15511111111111e-06;0.01010008216843;0;0;0;0.00024425
"Eigen";"Sub2";"op";1;1.9595e-06;0.00248825636016925;0;0;0;0.000246265
"Eigen";"Div";"op";1;2.2552e-06;0.0135316228141853;0;0;0;0.000239279
"Eigen";"Div2";"op";1;2.23427272727273e-06;0.00397970431850612;0;0;0;0.000237198
"Eigen";"Mul";"op";1;2.17045454545455e-06;0.00504686710696171;0;0;0;0.000245272
"Eigen";"Mul2";"op";1;1.95366666666667e-06;0.00340078217990149;0;0;0;0.000240493
"Eigen";"Chained";"op";1;0.000218171;0.00466017986820715;0;0;0;0.002489134
"Eigen";"Gemm";"op";1;0.000418778;0.00230244892488565;0;0;0;0.005046554
"Eigen";"Gemm2";"op";1;0.000408719;0.00103110963071081;0;0;0;0.004526454
"Eigen";"Sum";"op";1;8.01866666666667e-06;0.00547544409613386;0;0;0;0.000237337
"Eigen";"Sum2";"op";1;1.1907e-05;0.00757351385656863;0;0;0;0.000261061
"Eigen";"Sub";"op";1;1.16315e-05;0.0130203797247867;0;0;0;0.000241252
"Eigen";"Sub2";"op";1;1.18925e-05;0.0175836399418157;0;0;0;0.000244921
"Eigen";"Div";"op";1;1.17275e-05;0.0267915772884472;0;0;0;0.00022901
"Eigen";"Div2";"op";1;1.18475e-05;0.056952957096235;0;0;0;0.000217719
"Eigen";"Mul";"op";1;7.43733333333333e-06;0.00179597701149431;0;0;0;0.000241785
"Eigen";"Mul2";"op";1;7.60433333333333e-06;0.00218693959672835;0;0;0;0.000246965
"Eigen";"Chained";"op";1;0.001872643;0.00599576036727725;0;0;0;0.020694684
"Eigen";"Gemm";"op";1;0.00370982;0.0116304975309291;0;0;0;0.041707627
"Eigen";"Gemm2";"op";1;0.003504072;0.0089720070730248;0;0;0;0.038884106
"Eigen";"Sum";"op";1;6.5524e-05;0.0695002121894688;0;0;0;0.001252468
"Eigen";"Sum2";"op";1;6.4832e-05;0.0347497245630229;0;0;0;0.001289927
"Eigen";"Sub";"op";1;8.1553e-05;0.288580954036246;0;0;0;0.001146146
