"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"Torch";"Gemm";"op";1;1.5409e-05;0.0695495245366837;0;0;0;0.001151588
"Torch";"Gemm2";"op";1;1.4661e-05;0.0400078575170247;0;0;0;0.000497577
"Torch";"Chained";"op";1;6.2287e-05;0.0223721357757205;0;0;0;0.000726837
"Torch";"Sum";"op";1;1.973e-06;0.0481244723193825;0;0;0;0.000169408
"Torch";"Sum2";"op";1;1.74248e-06;0.00616649635209954;0;0;0;0.000454306
"Torch";"Sub";"op";1;1.43985714285714e-06;0.00381225343462449;0;0;0;0.000198735
"Torch";"Sub2";"op";1;1.35324137931034e-06;0.001314939369722;0;0;0;0.00047351
"Torch";"Div";"op";1;1.45933333333333e-06;0.0113190113190113;0;0;0;0.000172725
"Torch";"Div2";"op";1;1.35628125e-06;0.00104407567780358;0;0;0;0.00047344
"Torch";"Gemm";"op";1;3.6158e-05;0.0232847109670448;0;0;0;0.000526289
"Torch";"Gemm2";"op";1;3.2131e-05;0.0206797966963153;0;0;0;0.000369566
"Torch";"Chained";"op";1;0.000121639;0.0758810882265796;0;0;0;0.001381481
"Torch";"Sum";"op";1;2.98564285714286e-06;0.00579912411569369;0;0;0;0.000489401
"Torch";"Sum2";"op";1;2.4721875e-06;0.001741368867353;0;0;0;0.000441512
"Torch";"Sub";"op";1;3.49075e-06;0.00482153137593561;0;0;0;0.000478332
"Torch";"Sub2";"op";1;3.68881818181818e-06;0.0388905447202775;0;0;0;0.000457369
"Torch";"Div";"op";1;3.26025e-06;0.0068215940988316;0;0;0;0.000476215
"Torch";"Div2";"op";1;2.69276470588235e-06;0.000620832406632948;0;0;0;0.00045107
"Torch";"Gemm";"op";1;0.000175791;0.253011689818258;0;0;0;0.00204683
"Torch";"Gemm2";"op";1;0.000119575;0.00962422455419631;0;0;0;0.001321105
"Torch";"Chained";"op";1;0.000771311;0.0751177831674612;0;0;0;0.009651889
"Torch";"Sum";"op";1;8.797e-06;0.0508899773025924;0;0;0;0.000265352
"Torch";"Sum2";"op";1;7.07e-06;0.00936456411573773;0;0;0;0.000452624
"Torch";"Sub";"op";1;7.915e-06;0.0059522548666567;0;0;0;0.000469585
"Torch";"Sub2";"op";1;7.818e-06;0.00990354805373756;0;0;0;0.000465556
"Torch";"Div";"op";1;8.07183333333333e-06;0.00372336048712253;0;0;0;0.000484592
"Torch";"Div2";"op";1;9.067e-06;0.00485117218368605;0;0;0;0.00048918
"Torch";"Gemm";"op";1;0.000991335;0.0261969632350202;0;0;0;0.011552014
"Torch";"Gemm2";"op";1;0.000921454;0.0168733253583237;0;0;0;0.010190131
"Torch";"Chained";"op";1;0.005128598;0.117879606982968;0;0;0;0.073042336
"Torch";"Sum";"op";1;1.8906e-05;0.301438700351071;0;0;0;0.000779798
"Torch";"Sum2";"op";1;1.1955e-05;0.00464295468392186;0;0;0;0.000450738
"Torch";"Sub";"op";1;1.51785e-05;0.0411358419844594;0;0;0;0.000405343
